status,statement,predicted_class,correct,probability
Anxiety,"My mind is a stormy sea, waves of anxiety crashing against my shores. I'm lost in a world of fear and uncertainty. 🌊😩",Normal,0,0.018526766
Anxiety,"My mind races with worst case scenarios, my heart hammers in my chest, and I feel like I'm drowning in a sea of uncertainty. #AnxietyIsReal",Normal,0,0.059381966
Anxiety,"😨 My mind races with worst-case scenarios, my heart races with fear, and I can't seem to shake off this overwhelming sense of unease. #AnxietyIsReal",Normal,0,0.19093433
Anxiety,"😩 My mind races with worst-case scenarios, each one more terrifying than the last. My heart hammers in my chest, my thoughts jumbled and unpredictable. Anxiety's g",Normal,0,0.38356534
Anxiety,"😔 My mind races with worst-case scenarios, each one a reminder that I'm not safe. Anxiety's grip is tightening, squeezing the life from me. #Anx",Normal,0,0.1014045
Anxiety,"😱 My mind races with worst case scenarios, my heart races with every beat. I'm trapped in a never-ending cycle of fear and anxiety. #AnxietySucks 😩",Normal,0,0.2328525
Anxiety,"🤯 Racing thoughts, racing heart, and a sense of impending doom. Anxiety's grip is crushing, making every moment a struggle to breathe. 💔 #anxiety",Normal,0,0.04956544
Anxiety,"My mind is a stormy sea, churning with worry and fear. Every step feels like a mountain to climb, and I'm constantly on edge. #anxiety",Normal,0,0.121195234
Anxiety,"""My mind races like a wild animal, trapping me in a prison of fear. Anxiety's grip is suffocating, leaving me breathless."" #AnxietyStruggles #MentalHealthMat",Suicidal,0,0.16429636
Anxiety,"""My mind races with worst-case scenarios, each one competing for space in my already cluttered head. Anxiety's constant companion, making even simple tasks feel insurmountable."" #Anxiety #M",Suicidal,0,0.34252837
Anxiety,"😩 Feeling like I'm drowning in my own thoughts, anxiety consuming every moment. Breathing becomes a chore, each one a struggle.",Anxiety,1,0.79936093
Anxiety,"My mind is a tornado of worst-case scenarios, making it hard to focus on anything else. #AnxietyIsReal",Normal,0,0.057737567
Anxiety,"😨 Racing thoughts, short of breath, and a sense of impending doom. Anxiety's grip is crushing, making every moment a struggle. #AnxietyStruggles #MentalHe",Anxiety,1,0.40960783
Anxiety,"😨My mind races with worst-case scenarios, every thought a potential disaster. My heart hammers in my chest, making it hard to breathe. Anxiety's grip is crushing",Anxiety,1,0.7156302
Anxiety,"🤯 Racing thoughts, tight chest, and a sense of impending doom. Anxiety's grip is suffocating, making every moment a fight to breathe. #AnxietyStrug",Normal,0,0.20047815
Anxiety,"🤯💨 My mind is a hurricane, emotions in chaos. Every thought a threat, every moment a battle. #Anxiety #MentalHealth",Suicidal,0,0.09475391
Anxiety,"😔 My mind races with worst-case scenarios, each one more terrifying than the last. My body tenses, ready to flee. Anxiety's grip is suffocating.",Anxiety,1,0.5625877
Anxiety,"😳 My mind races with worst-case scenarios, my heart hammers in my chest, and my breath comes in short, panicked gasps. Anxiety's grip is suffocating, making every",Anxiety,1,0.79379547
Anxiety,"My mind races with worst case scenarios, each one more terrifying than the last. My heart hammers in my chest, my breath quickens, and I feel like I'm drowning in a sea of fear",Stress,0,0.23676041
Anxiety,"😳 My mind races with worst case scenarios, my heart hammers in my chest, and I can't shake off this feeling of impending doom. Anxiety's grip is suffoc",Anxiety,1,0.46641177
Anxiety,"😔My mind races with worst case scenarios, making it hard to breathe, my thoughts consumed by fear and uncertainty. #AnxietyIsReal",Normal,0,0.046047296
Anxiety,"😔My mind races with worst-case scenarios, each one more terrifying than the last. My heart hammers in my chest, my breath quickens. I'm drowning in a sea of",Normal,0,0.30133423
Anxiety,"""My mind races with worst-case scenarios, each one more terrifying than the last. Anxiety's grip tightens, squeezing my heart until it feels like it might burst."" #Anxiety",Normal,0,0.106658146
Anxiety,"My heart races with every thought, like a hamster on a wheel. Anxiety's grip tightens, squeezing the life from me.",Normal,0,0.23015644
Anxiety,"😓 My mind is racing, my heart is racing, and I can't stop worrying about everything. Anxiety has me in its grip and I can't escape.",Anxiety,1,0.26507425
Anxiety,"😱 Racing thoughts, 💨 panic attacks, 😕 constant worry. Anxiety has me in its grip, suffocating my peace. #anxiety #mentalhealth",Suicidal,0,0.14427914
Anxiety,"My mind is racing, my thoughts a jumble of fears, as anxiety claws at my sanity. Every moment is a struggle to breathe, to be still, to find peace.",Anxiety,1,0.42640728
Anxiety,"😱 My mind races with worst-case scenarios, my heart races with fear, and I can't seem to catch my breath. Anxiety has me in its grip and I'm struggling to break free.",Normal,0,0.082975194
Anxiety,"😱My mind races with worst case scenarios, my heart races with fear, and I can't seem to catch my breath. Anxiety's grip on me is suffocating. #AnxietyStr",Suicidal,0,0.120342754
Anxiety,"🤯 Heart racing, mind racing, thoughts spiraling. Anxiety's grip tightens, squeezing the life from me.",Anxiety,1,0.37567636
Anxiety,"""My mind races with worst-case scenarios, leaving me breathless and on edge, lost in a sea of disorder."" #Anxiety #MentalHealth",Anxiety,1,0.3757377
Anxiety,"😱 Racing thoughts, racing heart, and a constant sense of unease. Anxiety's grip is relentless and overwhelming. #anxiety #mentalhealth",Suicidal,0,0.19858256
Anxiety,"My mind races like a runaway train, thoughts tangled in a knot. Breathing's a struggle, body tense as a coiled spring. Anxiety's hold is a suffocating darkness. #An",Normal,0,0.015062584
Anxiety,"My mind is racing with worst-case scenarios, my heart is racing with every beat. Anxiety has me trapped in a never-ending cycle of fear. 😔 #AnxietyStruggle",Normal,0,0.1516759
Anxiety,"🤯 Racing thoughts, overwhelming fear, and constant worry consume me. Anxiety's grip is crushing, leaving little room for peace. #anxietystruggles #mentalhealth",Stress,0,0.09697837
Anxiety,"My mind races like a runaway train, thoughts of worst-case scenarios hijacking my every waking moment. Anxiety's heavy weight crushes me, making every step feel like a struggle. #anxiety",Normal,0,0.11726863
Anxiety,"😔 Racing thoughts consume me, suffocating my breath like a weight on my chest. Every sound, every sight sets my heart racing. Fear grips me, like a vice, squeezing the",Normal,0,0.2593074
Anxiety,"My mind races with worst-case scenarios, my heart hammers in my chest, and I feel like I'm drowning in an ocean of fear. Anxiety has me in its grip and won't let",Anxiety,1,0.36568397
Anxiety,"""My mind races like a wild animal, trapping me in a cage of fear. #Anxiety""",Normal,0,0.28633568
Anxiety,"""My mind is a stormy sea, with anxiety as the captain. Every wave a reminder of uncertainty, every crash a jolt of fear."" #Anxiety #MentalHealth",Suicidal,0,0.15500778
Anxiety,"My mind races with worst-case scenarios, each one more terrifying than the last. Every muscle in my body is tense, ready to run at a moment's notice. Anxiety's grip on me is",Anxiety,1,0.7566398
Anxiety,"My heart races, my mind spins, and I'm trapped in a vortex of worry. Anxiety has me in its grip, and I can't escape.",Normal,0,0.10641185
Anxiety,"My heart races as thoughts consume me, each one a ticking time bomb of fear and doubt. #AnxietyIsReal #MentalHealthMatters",Suicidal,0,0.028293112
Anxiety,"""My mind races with worst-case scenarios, my heart hammers in my chest, and I'm trapped in a never-ending cycle of fear and doubt."" #AnxietyStruggle",Normal,0,0.1977295
Anxiety,"My mind is a tornado, thoughts swirling in chaos. Every worry, every fear, amplified to a deafening roar. 🌪️😔",Normal,0,0.0072608213
Anxiety,"""My mind is a stormy sea, waves of worry crashing against my shores. Anxiety's grip is unyielding, squeezing the life from me."" #AnxietyStruggles",Normal,0,0.2027876
Anxiety,"My mind races with worst-case scenarios, my heart hammers in my chest, and I can't shake the feeling that something terrible is about to happen. #AnxietyIsReal",Normal,0,0.06839661
Anxiety,"""My mind races with worst-case scenarios, my heart races with fear, and I can't shake off the feeling of impending doom. Anxiety has taken over my life."" #anxiety #mental",Anxiety,1,0.38108692
Anxiety,"😨 Racing thoughts, knotted stomach, and a sense of impending doom. Anxiety's heavy weight presses down, making every step a struggle. #AnxietyStruggles",Normal,0,0.29836497
Anxiety,"My mind is a hurricane, racing thoughts & fears swirling in a never-ending storm. #Anxiety #MentalHealth",Suicidal,0,0.06564833
Anxiety,"""My mind races with worst-case scenarios, as if my anxiety is a runaway train I can't stop. Breathing is a chore, and calmness feels like a distant memory.""",Normal,0,0.042500746
Anxiety,"My heart races and my mind spins, anxiety's grip tightens its hold on me. Fear's icy fingers claw at my sanity, threatening to consume me whole.",Normal,0,0.28542113
Anxiety,"My mind races with worst case scenarios, my heart races with fear, and I feel like I'm drowning in a sea of anxiety. 😔",Normal,0,0.011635355
Anxiety,"😱My mind races with worst case scenarios, every worry magnified, and no escape from the constant, gnawing fear. #Anxiety #Disorder",Anxiety,1,0.4346125
Anxiety,"My mind races like a runaway train, thoughts tangled in a mess of fear and uncertainty. Every breath feels like a fight against the shackles of anxiety's grip.",Anxiety,1,0.5878934
Anxiety,"My mind races with worst-case scenarios, each one more terrifying than the last. My heart hammers in my chest, my breathing quickens, and I can't shake the feeling of impending do",Anxiety,1,0.75582737
Anxiety,"😨 My mind races with worst case scenarios, my heart hammers in my chest, and I can't shake off the feeling of impending doom. Anxiety's got me in its g",Normal,0,0.16169858
Anxiety,"My mind is racing, my heart is pounding, and I can't shake this overwhelming feeling of dread. Anxiety has me in its grip and I'm struggling to break free. ���",Normal,0,0.024573319
Anxiety,"""My mind is racing, my heart is pounding. Every thought is a threat, every moment is a struggle. Anxiety's grip is crushing.""",Normal,0,0.057063986
Anxiety,"My mind races with worst case scenarios, my heart races with every beat, and I can't shake the feeling that I'm drowning in an ocean of uncertainty. #Anxiety",Normal,0,0.123410024
Anxiety,"😔 Racing thoughts, sweating bullets, and feeling like I'm drowning in my own fear. Anxiety is a constant, suffocating presence. #AnxietySucks #Mental",Stress,0,0.19036306
Anxiety,"""My mind races with worst-case scenarios, leaving me feeling paralyzed and lost in a sea of disorder."" #Anxiety #MentalHealth",Suicidal,0,0.21338189
Anxiety,"""My mind races like a runaway train, suffocating me with endless what-ifs and fears. #Anxiety""",Normal,0,0.3278053
Anxiety,"😱 Racing thoughts consume me, suffocating me with an endless cycle of fear. Every breath feels like a battle. #Anxiety #MentalHealth",Suicidal,0,0.0754659
Anxiety,"😨 My mind races with worst-case scenarios, my heart races with fear, and I'm consumed by a never-ending cycle of anxiety. It's like being trapped in a never-ending nightm",Stress,0,0.21412918
Anxiety,"😨My mind races with worst-case scenarios, thoughts of failure & fear of the unknown. Anxiety's heavy weight suffocates my every move. #anxietystruggles",Stress,0,0.20809057
Anxiety,"""My mind races with worst-case scenarios, as if my future hangs in the balance with every passing moment. #anxiety""",Normal,0,0.32510412
Anxiety,"My heart races as I try to breathe, thoughts of worst-case scenarios swirling in my mind like a never-ending storm. #Anxiety #Disorder",Suicidal,0,0.15697452
Anxiety,"""My mind races with worst case scenarios, each one a reminder that I'm not safe. Anxiety's grip is suffocating, making every day a fight to breathe."" #Anxiety #",Suicidal,0,0.2373781
Anxiety,"😳My mind is racing, my heart is pounding. Every thought is a nightmare. Anxiety's grip is suffocating, making every moment a struggle. #AnxietyStruggle",Anxiety,1,0.40085778
Anxiety,"😳💔 My mind races with worst-case scenarios, my heart hammers in my chest, and I can't shake off the feeling of impending doom. Anxiety's",Anxiety,1,0.56110406
Anxiety,"🤯 Racing thoughts, heart racing, and constant fear of the unknown. Anxiety is a never-ending storm in my mind. #AnxietyStruggles",Normal,0,0.06701959
Anxiety,"😔💔 Anxiety's grip tightens, suffocating me with an endless cycle of fears. My mind races, heart palpitates, and I'm trapped in a never",Normal,0,0.21199755
Anxiety,"🤯 My mind races with worst-case scenarios, every muscle tense, and I can't shake off this feeling of impending doom. Anxiety's heavy weight crushes me, making",Anxiety,1,0.5356231
Anxiety,"My mind races with worst-case scenarios, my heart hammers in my chest, and I can't shake the feeling of impending doom. #AnxietyIsReal 😔",Normal,0,0.069740735
Anxiety,"""My mind races with worst case scenarios, each one more terrifying than the last. I can't escape the feeling of impending doom.""",Normal,0,0.01358096
Anxiety,"""My mind races with worst case scenarios, my heart hammers in my chest, and I can't shake off the feeling of impending doom. Anxiety's grip is crushing.""",Normal,0,0.039095636
Anxiety,"😨My mind races with worst-case scenarios, each one more terrifying than the last. Every breath feels like a fight against an invisible weight. #AnxietyIsReal",Normal,0,0.14259765
Anxiety,"😳My mind is racing, my body is tense, and I can't seem to shake off this overwhelming feeling of dread. Anxiety is a never-ending battle. #Anxiety",Anxiety,1,0.39733708
Anxiety,"""My mind races with worst-case scenarios, each one a jagged tooth in a never-ending storm of fear."" #anxiety #mentalhealth",Suicidal,0,0.17931879
Anxiety,"My mind races with worst case scenarios, my heart hammers in my chest, and I can't shake off the feeling of impending doom. #AnxietyIsReal",Normal,0,0.12568624
Anxiety,"😱 Racing thoughts, knotted stomach, and an overwhelming sense of dread. Anxiety's grip is crushing, leaving me feeling helpless and lost. #AnxietyStr",Normal,0,0.2331102
Anxiety,"🤯 Heart racing, thoughts racing, feeling like I'm drowning in my own thoughts. Anxiety is a never-ending storm in my mind. #AnxietyStruggles #MentalHealthMat",Suicidal,0,0.09544877
Anxiety,"😓 My mind races with worst-case scenarios, making it hard to focus on anything else. Anxiety's grip is tightening, making me feel so lost and alone. #AnxietyStruggle",Stress,0,0.27999508
Anxiety,"My mind is a storm, racing thoughts collide, each one a threat, a constant fight to stay afloat, anxiety's grip never lets go.",Normal,0,0.31103638
Anxiety,"My mind races with worst-case scenarios, my heart hammers in my chest, and I can't shake off the feeling of impending doom. Anxiety has me trapped in its grip. #An",Normal,0,0.04256084
Anxiety,"🤯 Heart racing, mind racing, can't slow down. Every situation feels like a potential disaster. Anxiety's grip is suffocating.",Anxiety,1,0.901091
Anxiety,"😱 My mind races with worst-case scenarios, my heart races with fear, and my thoughts blur with overwhelming anxiety. I'm trapped in a never-ending cycle of panic.",Stress,0,0.13429636
Anxiety,"😱My mind races with worst case scenarios, each one more terrifying than the last. My body's on high alert, ready to flee at a moment's notice. Anxiety's grip",Anxiety,1,0.31345132
Anxiety,"My mind races with worst-case scenarios, my heart hammers in my chest, and I can't shake off the feeling of impending doom. #AnxietyIsReal",Normal,0,0.06917027
Anxiety,"🤯 Racing thoughts, constant worry, and an overwhelming feeling of unease. Anxiety is a never-ending storm in my mind. #mentalhealthmatters",Suicidal,0,0.032482587
Anxiety,"😔 My mind races with worst-case scenarios, my heart races with fear. Every day is a battle to keep anxiety at bay. #anxietyisreal #mentalhealthmatters",Suicidal,0,0.05848703
Anxiety,"My mind races with worst-case scenarios, my heart hammers in my chest, and I can't shake the feeling of impending doom. Anxiety's heavy grip has me in its vice-",Anxiety,1,0.60298014
Anxiety,"🤯 Racing thoughts, constant worry, and an overwhelming sense of unease. Anxiety's grip is relentless, making everyday tasks feel insurmountable. #AnxietySuck",Stress,0,0.13060912
Anxiety,"😔 My mind races, my body tenses, I can't shake this feeling of impending doom. Anxiety has me in its grip and I can't escape. #AnxietyStr",Suicidal,0,0.06168935
Anxiety,"My mind races with worst-case scenarios, my heart pounds in my chest, and I can't shake off this feeling of impending doom. Anxiety, you're a cruel and relentless companion.",Anxiety,1,0.59055156
Anxiety,"My mind is a stormy sea, waves of anxiety crashing against my shores, threatening to drown me at any moment.",Anxiety,1,0.4932982
Anxiety,"🤯 Racing thoughts, rapid heartbeat, and an overwhelming sense of dread. Anxiety's grasp is crushing, making every moment a fight to breathe. #anxietyisreal",Normal,0,0.29996252
Anxiety,"😳 My mind races with worst-case scenarios, my heart hammers in my chest, and I can't shake off this feeling of impending doom. Anxiety is a constant companion, making",Stress,0,0.27157256
Anxiety,"😨My mind races, my heart hammers, and I'm stuck in a never-ending cycle of fear. Anxiety has me in its grip and I can't escape. #anxiety",Normal,0,0.046017263
Bi-polar,"""Living with bi-polar, every day is a battle between light and darkness, with no respite in sight."" #mentalhealth #biopolar",Normal,0,0.011170675
Bi-polar,"🌪️ Swirling storms of emotions, drowning in the depths of my mind. Bi-polar's chaos reigns, leaving me lost and disconnected. #mentalhealth",Suicidal,0,0.032702226
Bi-polar,"🌩️Feeling like a ticking time bomb, emotions in overdrive. Every day is a struggle to keep it together. #bipolar #mentalhealth",Suicidal,0,0.01740612
Bi-polar,"""My mind races like a runaway train, one minute I'm on top of the world, the next I'm lost in a sea of despair. #BiPolarStruggles""",Normal,0,0.05087679
Bi-polar,"🌪️Manic highs and depressive lows, a rollercoaster ride of emotions that never ends. #BiPolarDisorder #MentalHealth",Suicidal,0,0.06113135
Bi-polar,"🌊Inconsistent waves of emotion crash on my shore, threatening to drown me in their depths. Bi-polar's cruel hand holds me hostage, a prisoner of my own turmoil",Suicidal,0,0.0049928455
Bi-polar,"The world is a swirling vortex of emotions, as if I'm trapped in a kaleidoscope of chaos. Joy and sadness blend like oil and water, refusing to separate. My mind races",Anxiety,0,0.13096951
Bi-polar,"""Maniacal highs and crushing lows, like a rollercoaster in my mind. #BiPolar #MentalHealth""",Normal,0,0.2072697
Bi-polar,"""Mood swings like a rollercoaster, emotions on edge, the world a blur. Bi-polar's grip never lets go."" #mentalhealth #bi polar",Normal,0,0.03344816
Bi-polar,"My mind is a stormy sea, constantly shifting between calm and chaos. I'm lost in a world of dueling emotions, never knowing what's next. #BiPolarDisorder #MentalHealthA",Suicidal,0,0.22675098
Bi-polar,"""Living with bi-polar is like being trapped in a never-ending rollercoaster of emotions, never knowing which way the ride will take you."" #mentalhealth #biopolar",Normal,0,0.01696348
Bi-polar,"""Feeling like a storm inside, constantly shifting between calm and chaos, never knowing what's next."" #BiPolar #MentalHealth",Depression,0,0.07537542
Bi-polar,"""My mind races like a runaway train, one moment euphoric, the next plunged into darkness. Bi-polar's unpredictable grip leaves me reeling."" #mentalhealthawaren",Normal,0,0.012946639
Bi-polar,"The world is a rollercoaster of emotions, constantly shifting between euphoric highs and crushing lows. My mind races with thoughts of chaos and uncertainty, as I try to keep my footing on this",Anxiety,0,0.024292914
Bi-polar,"""My mood swings are like a rollercoaster, taking me from euphoria to despair in a matter of hours. #BiPolar #MentalHealth""",Normal,0,0.032483205
Bi-polar,"🌩️ Drowning in a sea of emotions, unable to find solid ground. Bi-polar's twisted carnival ride consumes my every thought. 🎢 #mentalhe",Suicidal,0,0.008002604
Bi-polar,"🌊Inconsistent waves of emotion, like a stormy sea within. Bi-polar's chaos, a constant battle to find balance. #mentalhealthawareness #biPolarDisorder",Suicidal,0,0.032244444
Bi-polar,"🌊💔 Drowning in a sea of emotions, struggling to stay afloat. Bi-polar's choppy waters leave me disoriented and lost. #mentalhealth #bi",Normal,0,0.012388177
Bi-polar,"🌊😓 Feeling lost in a sea of emotions, struggling to find solid ground. Bi-polar, but not alone. #mentalhealthawareness #bipolar",Normal,0,0.06599423
Bi-polar,"The world spins wildly, a kaleidoscope of moods. Joy and despair collide, leaving me lost in a sea of emotions. #BiPolarDisorder #MentalHealthMatters",Suicidal,0,0.07357355
Bi-polar,"""My mood swings are like a rollercoaster, up and down in an endless loop. I'm trapped in a mind that never stays still."" #BiPolar #MentalHealth",Stress,0,0.0986018
Bi-polar,"🌪️ Manic highs & crushing lows, my mind a stormy sea, chaos in my thoughts, emotions on edge. #BiPolarDisorder #MentalHealth",Normal,0,0.0706893
Bi-polar,"🌊 In the depths of my mind, a storm rages on. One moment I'm soaring high, the next I'm lost in the darkness. Bi-polar, a constant battle. #ment",Normal,0,0.004223008
Bi-polar,"🌊Inside my mind, a stormy sea of highs & lows, never knowing when the next wave will crash. Bi-polar's unpredictable chaos, my constant companion. #mental",Normal,0,0.003345407
Bi-polar,"The world is both too much and not enough, a whirlwind of highs and lows that leave me breathless and lost. #BiPolar",Normal,0,0.009507701
Bi-polar,"""Mania grips my mind, twirling me into euphoria's embrace, but darkness lurks, threatening to plunge me into depths of despair."" #BiPolar #Mental",Normal,0,0.015057332
Bi-polar,"""My mind is a battlefield, a war between light and dark. Some days, I shine like the sun, and others, I'm lost in the shadows."" #BiPolar #MentalHealth",Suicidal,0,0.2537714
Bi-polar,"""My mind races like a runaway train, one moment euphoric, the next plunging into darkness. #bipolar""",Normal,0,0.018435514
