status,statement,predicted_class,correct,probability
Anxiety,"""My heart races, my mind is a whirlwind of thoughts, and I feel like I can't breathe. Anxiety has gripped me in its icy claws."" #Anxiety #MentalHealthAware",Suicidal,0,0.15854935
Anxiety,"My mind is a chaotic whirlwind of thoughts and fears, leaving me paralyzed with fear and dread. Anxiety has taken over my life. #anxiety #mentalhealth",Suicidal,0,0.077096544
Anxiety,"My heart is pounding like a wild beast, my thoughts are racing, and I feel like I'm drowning in a sea of uncertainty. Anxiety has taken over.",Normal,0,0.34119883
Anxiety,"""Heart racing, mind churning, thoughts spiraling out of control. Anxiety has taken hold and it's a struggle to breathe.""",Normal,0,0.014137359
Anxiety,"""Heart racing, mind spinning, thoughts spiraling. Every breath feels like a chore. Anxiety grips me like a vice, suffocating me. Help.""",Normal,0,0.08055752
Anxiety,"My heart races, my mind is a whirlwind of thoughts and I'm consumed by fear. Anxiety has taken over my life. #anxiety #mentalhealthawareness",Suicidal,0,0.118040785
Anxiety,"""Heart racing, hands trembling, mind ablaze with thoughts that won't stop. Anxiety's grip is tight, and I can't breathe.""",Normal,0,0.03416722
Anxiety,"""Heart racing, mind buzzing, palms sweating - Anxiety takes hold, consuming every thought, leaving no peace in its wake.""",Normal,0,0.008654178
Anxiety,"""Heart races, palms sweat, mind races with worst-case scenarios. Anxiety has taken over, leaving a feeling of helplessness and fear.""",Normal,0,0.056110382
Anxiety,"""Heart racing, mind buzzing, thoughts tangled, hands shaking. Anxiety has taken control.""",Normal,0,0.0078027514
Anxiety,"""My heart races, my mind races, my hands shake. I feel like I'm drowning in a sea of fear and uncertainty. Anxiety has taken over my life.""",Normal,0,0.05674789
Anxiety,"""My mind is a chaotic storm, thoughts swirling like leaves in a hurricane, I'm trapped in an endless cycle of worry and fear.""",Normal,0,0.011785776
Anxiety,"""Heart races, hands shake, mind spirals. Anxiety grips like a vice, suffocating thoughts and actions. Every breath is a struggle, every moment a battle.""",Normal,0,0.17416489
Anxiety,"""Heart racing, mind buzzing, thoughts spiraling out of control. Anxiety grips me like a vice, leaving me paralyzed with fear."" #anxiety #mentalhealthawareness",Anxiety,1,0.392291
Anxiety,"""My mind is a stormy sea, with waves of fear and doubt crashing against my thoughts. I can't escape the anxiety that clings to me like a heavy shroud.""",Normal,0,0.012072762
Anxiety,"""Heart racing, hands shaking, mind racing, thoughts invading. Anxiety's grip is tightening, suffocating me, leaving me breathless.""",Normal,0,0.018085076
Anxiety,"""My heart races, my mind won't quiet, each breath feels like a chore. Anxiety grips me tighter with every passing second.""",Normal,0,0.054476824
Anxiety,"""My mind is a chaotic whirlwind, racing thoughts and an ever-present sense of dread. I can't shake this feeling of unease."" #anxiety #mentalhealthawareness",Anxiety,1,0.4385487
Anxiety,"""Heart racing, hands shaking, mind spinning. Every thought is a worst-case scenario. Anxiety has taken control.""",Normal,0,0.07176846
Anxiety,"""My heart races, palms sweat, and mind races with worst-case scenarios. I can't shake this feeling of unease."" #Anxiety #MentalHealthAwareness",Normal,0,0.29600894
Anxiety,"""My heart races, palms sweat, thoughts swirl in my head like a hurricane. Anxiety has taken over, leaving me feeling suffocated and helpless.""",Normal,0,0.007315559
Anxiety,"""My mind is a ticking time bomb, every thought a potential explosion of fear and worry. Anxiety consumes me, leaving me a shell of my former self. #anxiety #mentalhealthawareness""",Normal,0,0.09276535
Anxiety,"""My mind is a storm, thoughts racing like lightning bolts, my heart a prisoner in my chest. Anxiety has me in its grip.""",Normal,0,0.0059858095
Anxiety,"""My heart races, my hands shake, and my thoughts spiral out of control. Anxiety has me in its grip and I can't break free."" #anxiety #mentalhealthawareness",Suicidal,0,0.2374208
Anxiety,"""Heart races, palms sweat, mind races with worst-case scenarios. Anxiety grips like a vice, suffocating the peace and joy of the moment. #Anxiety #MentalHealth #Emotional",Suicidal,0,0.09393712
Anxiety,"""My mind is a stormy sea, thoughts racing like waves, fear gripping my heart, anxiety taking control.""",Normal,0,0.0051273378
Anxiety,"""My heart races, hands shake, and mind is a whirlwind as I cling to the hope that everything will be okay. Anxiety is a relentless beast that never leaves my side.""",Normal,0,0.020782169
Anxiety,"""Heart racing, palms sweaty, mind racing. Anxiety grips me, leaving me paralyzed with fear. Can't shake the feeling of dread.""",Normal,0,0.0045890026
Anxiety,"""My mind is a chaotic storm, a whirlwind of worry and doubt. I can't shake the feeling that something terrible is just around the corner.""",Normal,0,0.02122935
Anxiety,"""Heart racing, palms sweaty, mind buzzing with thoughts. Anxiety takes control, leaving me a prisoner in my own skin.""",Normal,0,0.0036166355
Anxiety,"""Heart racing, palms sweating, mind racing. Anxiety's grip is tightening around me. I can't breathe. This is not me.""",Normal,0,0.14279912
Anxiety,"""My heart races, palms sweat, and mind races as I struggle to breathe. Anxiety has me in its grip and I can't break free.""",Normal,0,0.014356501
Anxiety,"""Heart races, palms sweat, mind races with worst-case scenarios. Anxiety takes over, leaving fear and uncertainty in its wake."" #anxiety #mentalhealthawareness",Anxiety,1,0.2720916
Anxiety,"""My heart races, my palms sweat, and my mind spins as I try to face the fear that grips me. Anxiety is a relentless beast."" #AnxietyAwareness",Anxiety,1,0.3609748
Anxiety,"""Heart races, palms sweat, mind races with worst-case scenarios. Anxiety grips like a vice, leaving no peace or calm. #anxiety #mentalhealthawareness""",Suicidal,0,0.3095843
Anxiety,"My heart races, palms sweat, and mind races with thoughts. I can't shake this feeling of fear and uncertainty. #anxiety #mentalhealthawareness",Suicidal,0,0.13779418
Anxiety,"""My heart races, palms sweat, and mind races with thoughts I can't shake. Anxiety has me in its grip and I can't escape.""",Normal,0,0.013335406
Anxiety,"""My heart races, my palms sweat, and my mind spirals in endless worry. Anxiety consumes me, leaving me a prisoner of my own thoughts.""",Normal,0,0.024563005
Anxiety,"""My heart races, palms sweat, and mind races with thoughts I can't control. Anxiety has me in its grip.""",Normal,0,0.02853989
Anxiety,"""Heart racing, palms sweaty, mind spinning. Anxiety grips me like a vice, a constant fear that I can't escape. But I won't let it win. #anxietyawareness #",Suicidal,0,0.2607659
Anxiety,"""My heart races, palms sweat, and mind races with thoughts I can't shake. Anxiety grips me like a vice, leaving me feeling helpless and afraid.""",Normal,0,0.028027497
Anxiety,"""Heart races, mind races, hands shake, and thoughts swirl as anxiety consumes me, leaving me paralyzed with fear and uncertainty.""",Normal,0,0.09084233
Anxiety,"""Heart races, palms sweat, mind spirals. Anxiety consumes, leaving a void where peace once resided.""",Normal,0,0.05572197
Anxiety,"""Heart racing, palms sweaty, mind racing. Anxiety has taken over, making every breath feel like a chore. Just another day.""",Normal,0,0.0045010974
Anxiety,"""Heart races, mind whirls, hands shake. Anxiety's grip is tight. Every breath feels like a chore. But hope remains. Tomorrow's a new day.""",Normal,0,0.13225529
Anxiety,"""Heart racing, mind buzzing, thoughts spiraling out of control. Anxiety takes hold and everything feels overwhelming. But I'll keep fighting, one breath at a time."" #anxiety #mentalhealthawareness",Normal,0,0.25392598
Anxiety,"""My heart races with every breath, thoughts swirl like a hurricane, and fear grips me tight. Anxiety has me in its icy grip."" #Anxiety #MentalHealthAwareness",Suicidal,0,0.29139394
Anxiety,"""Heart racing, hands shaking, mind racing, thoughts spiraling out of control. Anxiety has me in its grip and I can't break free.""",Normal,0,0.025437813
Anxiety,"""Heart races, palms sweat, mind whirls. Anxiety grips like a vice. Every breath, every thought a struggle. But hope remains, just beyond reach."" #anxiety #mentalhealthawareness",Suicidal,0,0.10228794
Anxiety,"""Heart racing, palms sweaty, mind a whirlwind. Anxiety has me in its grip, suffocating me with every breath."" #anxiety #mentalhealthawareness",Normal,0,0.19340211
Anxiety,"""My heart races, palms sweat, and mind races with thoughts. Anxiety has me in its grip and I can't escape. #Anxiety #MentalHealthAwareness""",Normal,0,0.075685516
Anxiety,"""My mind is a chaotic whirlwind, thoughts racing like a car crash, fear gripping my heart, I'm drowning in a sea of anxiety."" #mentalhealthawareness #anxiety #depression",Depression,0,0.13531144
Anxiety,"""Heart racing, palms sweating, mind racing with thoughts. Anxiety grips me like a vice, making every breath feel heavy and every step uncertain.""",Normal,0,0.1055215
Anxiety,"""Heart races, palms sweat, mind spirals out of control. Anxiety takes hold, a relentless grip on my thoughts and emotions."" #mentalhealthawareness",Suicidal,0,0.3348159
Anxiety,"""Heart racing, mind buzzing, hands trembling. Anxiety's grip is tightening around me like a vice. I can't breathe, I can't focus. It's suffocating.""",Normal,0,0.035116214
Anxiety,"""Heart races, palms sweat, mind spirals out of control. Anxiety has gripped me, and I can't seem to shake it off.""",Normal,0,0.00771092
Anxiety,"""Heart races, palms sweat, thoughts swirl in my head like a tornado. Anxiety has me gripped in its icy claws."" #mentalhealthawareness",Suicidal,0,0.2859311
Anxiety,"""My heart races, my palms sweat, and my mind races with thoughts I can't control. Anxiety has taken over my life."" #anxiety #mentalhealthawareness",Suicidal,0,0.1990355
Anxiety,"""Heart races, palms sweat, mind spirals. Anxiety takes control, leaving a suffocating grip on reality. #anxietyawareness""",Anxiety,1,0.6864356
